"Search for users","Search for users"
"Series","Series"
"Series_sg","Series"
"Series ID","Series ID"
"Series ID is missing.","Series ID is missing."
"Series list","Series list"
"Series List :: Admin","Series List :: Admin"
"Series Name","Series Name"
"Show debug","Show debug"
"Show email body","Show email body"
"Show error info","Show error info"
"Showing","Showing"
"Simple text config","Simple text config"
"Some parameters are missing","Some parameters are missing"
"Status","Status"
"Surprise ID","Surprise ID"
"Surprise Name","Surprise Name"
"Surprises","Surprises"
"Surprises list","Surprises list"
"Surprises List :: Admin","Surprises List :: Admin"
"Textarea config","Textarea config"
"The category was deleted.","The category was deleted."
"The category was saved.","The category was saved."
"The group was deleted.","The group was deleted."
"The group was saved.","The group was saved."
"The group id is missing","The group id is missing"
"The page delay was too long","The page delay was too long"
"The series was deleted.","The series was deleted."
"The series was saved.","The series was saved."
"The surprise was deleted.","The surprise was deleted."
"The surprise was saved.","The surprise was saved."
"The user group was deleted.","The user group was deleted."
"The user group was saved.","The user group was saved."
"Type","Type"
"User Groups","User Groups"
"User Group ID","User Group ID"
"User Group ID is missing.","User Group ID is missing."
"User Groups List","User Groups List"
"User Groups List :: Admin","User Groups List :: Admin"
"User Group Name","User Group Name"
"User id or new status are missing","User id or new status are missing"
"Username","Username"
"Users","Users"
"Users list","Users list"
"Users List :: Admin","Users List :: Admin"
"Value","Value"
"Yes / No config","Yes / No config"
"You did not write the config properly","You did not write the config properly"
"You don't have permission to access that page!","You don't have permission to access that page!"
